 AD1 AD0 | IN3 IN2 IN1 IN0 | b_out s_out 
  0   0  |  0   0   0   0  |   0    0
  0   0  |  0   0   0   1  |   1    1
  0   0  |  0   0   1   0  |   0    0
  0   0  |  0   0   1   1  |   1    1
  0   0  |  0   1   0   0  |   0    0
  0   0  |  0   1   0   1  |   1    1
  0   0  |  0   1   1   0  |   0    0
  0   0  |  0   1   1   1  |   1    1
  0   0  |  1   0   0   0  |   0    0
  0   0  |  1   0   0   1  |   1    1
  0   0  |  1   0   1   0  |   0    0
  0   0  |  1   0   1   1  |   1    1
  0   0  |  1   1   0   0  |   0    0
  0   0  |  1   1   0   1  |   1    1
  0   0  |  1   1   1   0  |   0    0
  0   0  |  1   1   1   1  |   1    1
  0   1  |  0   0   0   0  |   0    0
  0   1  |  0   0   0   1  |   0    0
  0   1  |  0   0   1   0  |   1    1
  0   1  |  0   0   1   1  |   1    1
  0   1  |  0   1   0   0  |   0    0
  0   1  |  0   1   0   1  |   0    0
  0   1  |  0   1   1   0  |   1    1
  0   1  |  0   1   1   1  |   1    1
  0   1  |  1   0   0   0  |   0    0
  0   1  |  1   0   0   1  |   0    0
  0   1  |  1   0   1   0  |   1    1
  0   1  |  1   0   1   1  |   1    1
  0   1  |  1   1   0   0  |   0    0
  0   1  |  1   1   0   1  |   0    0
  0   1  |  1   1   1   0  |   1    1
  0   1  |  1   1   1   1  |   1    1
  1   0  |  0   0   0   0  |   0    0
  1   0  |  0   0   0   1  |   0    0
  1   0  |  0   0   1   0  |   0    0
  1   0  |  0   0   1   1  |   0    0
  1   0  |  0   1   0   0  |   1    1
  1   0  |  0   1   0   1  |   1    1
  1   0  |  0   1   1   0  |   1    1
  1   0  |  0   1   1   1  |   1    1
  1   0  |  1   0   0   0  |   0    0
  1   0  |  1   0   0   1  |   0    0
  1   0  |  1   0   1   0  |   0    0
  1   0  |  1   0   1   1  |   0    0
  1   0  |  1   1   0   0  |   1    1
  1   0  |  1   1   0   1  |   1    1
  1   0  |  1   1   1   0  |   1    1
  1   0  |  1   1   1   1  |   1    1
  1   1  |  0   0   0   0  |   0    0
  1   1  |  0   0   0   1  |   0    0
  1   1  |  0   0   1   0  |   0    0
  1   1  |  0   0   1   1  |   0    0
  1   1  |  0   1   0   0  |   0    0
  1   1  |  0   1   0   1  |   0    0
  1   1  |  0   1   1   0  |   0    0
  1   1  |  0   1   1   1  |   0    0
  1   1  |  1   0   0   0  |   1    1
  1   1  |  1   0   0   1  |   1    1
  1   1  |  1   0   1   0  |   1    1
  1   1  |  1   0   1   1  |   1    1
  1   1  |  1   1   0   0  |   1    1
  1   1  |  1   1   0   1  |   1    1
  1   1  |  1   1   1   0  |   1    1
  1   1  |  1   1   1   1  |   1    1
